"id","text","source","source_url","created_at","updated_at"
"fact-1","Bananas are berries, but strawberries aren't.","Botanical Facts","https://example.com","2025-09-23T00:28:34.766Z","2025-09-23T00:28:34.766Z"
"fact-2","A group of flamingos is called a ""flamboyance"".","Animal Facts","https://example.com","2025-09-23T00:28:34.859Z","2025-09-23T00:28:34.859Z"
"fact-3","Honey never spoils. Archaeologists have found pots of honey in ancient Egyptian tombs that are over 3000 years old and still perfectly edible.","Food Facts","https://example.com","2025-09-23T00:28:34.954Z","2025-09-23T00:28:34.954Z"
"fact-4","The shortest war in history was between Britain and Zanzibar on August 27, 1896. Zanzibar surrendered after 38 minutes.","Historical Facts","https://example.com","2025-09-23T00:28:35.047Z","2025-09-23T00:28:35.047Z"
"fact-5","A jiffy is an actual unit of time. It's 1/100th of a second.","Science Facts","https://example.com","2025-09-23T00:28:35.142Z","2025-09-23T00:28:35.142Z"
"fact-6","The human brain contains approximately 86 billion neurons.","Neuroscience Facts","https://example.com","2025-09-23T00:56:35.150Z","2025-09-23T00:56:35.150Z"
"fact-7","A group of owls is called a 'parliament'.","Animal Facts","https://example.com","2025-09-23T00:56:35.359Z","2025-09-23T00:56:35.359Z"
"fact-8","The Great Wall of China is not visible from space with the naked eye.","Space Facts","https://example.com","2025-09-23T00:56:35.525Z","2025-09-23T00:56:35.525Z"
"fact-9","Every time you lick a stamp, you consume 1/10 of a calorie.","Human Body Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:50.029Z","2025-09-23T01:16:50.029Z"
"fact-10","The average person falls asleep in seven minutes.","Human Body Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:50.225Z","2025-09-23T01:16:50.225Z"
"fact-11","Studies show that if a cat falls off the seventh floor of a building it has about thirty percent less chance of surviving than a cat that falls off the twentieth floor. It supposedly takes about eight floors for the cat to realize what is occurring, relax and correct itself.","Animal Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:50.397Z","2025-09-23T01:16:50.397Z"
"fact-12","Your stomach has to produce a new layer of mucus every 2 weeks otherwise it will digest itself.","Human Body Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:50.566Z","2025-09-23T01:16:50.566Z"
"fact-13","The citrus soda 7-UP was created in 1929; '7' was selected after the original 7-ounce containers and 'UP' for the direction of the bubbles.","Food & Drink Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:50.746Z","2025-09-23T01:16:50.746Z"
"fact-14","101 Dalmatians, Peter Pan, Lady and the Tramp, and Mulan are the only Disney cartoons where both parents are present and don't die throughout the movie.","Pop Culture Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:50.916Z","2025-09-23T01:16:50.916Z"
"fact-15","A pig's orgasm lasts for 30 minutes.","Animal Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:51.087Z","2025-09-23T01:16:51.087Z"
"fact-16","'Stewardesses' is the longest word that is typed with only the left hand.","Language Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:51.258Z","2025-09-23T01:16:51.258Z"
"fact-17","To escape the grip of a crocodile's jaws, push your thumbs into its eyeballs - it will let you go instantly.","Animal Facts","https://www.djtech.net/humor/useless_facts.htm","2025-09-23T01:16:51.428Z","2025-09-23T01:16:51.428Z"
